29999.993120	-301032	29999.993120	30000.005550	-1073.978687
30099.960880	-299429	30099.960880	30099.973178	-1062.536453
30199.991000	-297825	30199.991000	30200.003168	-1051.339327
30299.958760	-296222	30299.958760	30299.970796	-1039.897093
30399.988880	-294618	30399.988880	30400.000786	-1028.699967
30500.019000	-293014	30500.019000	30500.030777	-1017.502842
30599.986750	-291411	30599.986750	30599.998404	-1006.924607
30700.016870	-289807	30700.016870	30700.028395	-995.727482
30799.984630	-288204	30799.984630	30799.996022	-984.285247
30900.014740	-286600	30900.014740	30900.026013	-973.952122
30999.982500	-284997	30999.982500	30999.993640	-962.509887
31100.012610	-283393	31100.012610	31100.023631	-952.176761
31199.980360	-281790	31199.980360	31199.991258	-941.598527
31300.010480	-280186	31300.010480	31300.021249	-930.401401
31399.978230	-278583	31399.978230	31399.988876	-919.823167
31500.008340	-276979	31500.008340	31500.018867	-909.490041
31599.976090	-275376	31599.976090	31599.986494	-898.911807
31700.006200	-273772	31700.006200	31700.016484	-888.578681
31799.973950	-272169	31799.973950	31799.984112	-878.000447
31900.004060	-270565	31900.004060	31900.014102	-867.667321
31999.971810	-268962	31999.971810	31999.981730	-857.089087
32100.001910	-267358	32100.001910	32100.011720	-847.619961
32199.969660	-265755	32199.969660	32199.979348	-837.041727
32299.999770	-264151	32299.999770	32300.009338	-826.708601
32399.967510	-262548	32399.967510	32399.976966	-816.994367
32499.997610	-260944	32499.997610	32500.006956	-807.525241
32599.965360	-259341	32599.965360	32599.974584	-796.947007
32699.995460	-257737	32699.995460	32700.004574	-787.477881
32799.963200	-256134	32799.963200	32799.972202	-777.763647
32899.993300	-254530	32899.993300	32900.002192	-768.294521
32999.961040	-252927	32999.961040	32999.969820	-758.580287
33099.991140	-251323	33099.991140	33099.999810	-749.111161
33200.021250	-249719	33200.021250	33200.029801	-738.778036
33299.988980	-248116	33299.988980	33299.997428	-729.927801
33400.019080	-246512	33400.019080	33400.027419	-720.458676
33499.986820	-244909	33499.986820	33499.995046	-710.744441
33600.016910	-243305	33600.016910	33600.025037	-702.139316
33699.984650	-241702	33699.984650	33699.992664	-692.425082
33800.014750	-240098	33800.014750	33800.022655	-682.955955
33899.982480	-238495	33899.982480	33899.990282	-674.105721
34000.012570	-236891	34000.012570	34000.020273	-665.500595
34099.980300	-235288	34099.980300	34099.987900	-656.650360
34200.010400	-233684	34200.010400	34200.017891	-647.181236
34299.978130	-232081	34299.978130	34299.985518	-638.331001
34400.008220	-230477	34400.008220	34400.015508	-629.725875
34499.975950	-228874	34499.975950	34499.983136	-620.875641
34600.006040	-227270	34600.006040	34600.013126	-612.270515
34699.973770	-225667	34699.973770	34699.980754	-603.420281
34800.003860	-224063	34800.003860	34800.010744	-594.815155
34899.971580	-222460	34899.971580	34899.978372	-586.828921
35000.001670	-220856	35000.001670	35000.008362	-578.223796
35099.969390	-219253	35099.969390	35099.975990	-570.237561
35199.999480	-217649	35199.999480	35200.005980	-561.632436
35299.967200	-216046	35299.967200	35299.973608	-553.646201
35399.997290	-214442	35399.997290	35400.003598	-545.041075
35499.965010	-212839	35499.965010	35499.971226	-537.054841
35599.995090	-211235	35599.995090	35600.001216	-529.313716
35699.962810	-209632	35699.962810	35699.968844	-521.327481
35799.992900	-208028	35799.992900	35799.998834	-512.722355
35900.022980	-206424	35900.022980	35900.028825	-504.981230
35999.990700	-204821	35999.990700	35999.996452	-496.994995
36100.020780	-203217	36100.020780	36100.026443	-489.253870
36199.988490	-201614	36199.988490	36199.994070	-482.131635
36300.018570	-200010	36300.018570	36300.024061	-474.390510
36399.986290	-198407	36399.986290	36399.991688	-466.404275
36500.016360	-196803	36500.016360	36500.021679	-459.527149
36599.984080	-195200	36599.984080	36599.989306	-451.540915
36700.014150	-193596	36700.014150	36700.019297	-444.663790
36799.981870	-191993	36799.981870	36799.986924	-436.677555
36900.011940	-190389	36900.011940	36900.016915	-429.800430
36999.979650	-188786	36999.979650	36999.984542	-422.678195
37100.009730	-187182	37100.009730	37100.014533	-414.937070
37199.977440	-185579	37199.977440	37199.982160	-407.814835
37300.007510	-183975	37300.007510	37300.012150	-400.937709
37399.975210	-182372	37399.975210	37399.979778	-394.679475
37500.005290	-180768	37500.005290	37500.009768	-386.938350
37599.972990	-179165	37599.972990	37599.977396	-380.680115
37700.003060	-177561	37700.003060	37700.007386	-373.802989
37799.970770	-175958	37799.970770	37799.975014	-366.680755
37900.000830	-174354	37900.000830	37900.005004	-360.667630
37999.968540	-172751	37999.968540	37999.972632	-353.545395
38099.998600	-171147	38099.998600	38100.002622	-347.532269
38199.966310	-169544	38199.966310	38199.970250	-340.410034
38299.996370	-167940	38299.996370	38300.000240	-334.396909
38400.026430	-166336	38400.026430	38400.030231	-328.383784
38499.994140	-164733	38499.994140	38499.997858	-321.261549
38600.024200	-163129	38600.024200	38600.027849	-315.248424
38699.991900	-161526	38699.991900	38699.995476	-308.990189
38800.021960	-159922	38800.021960	38800.025467	-302.977064
38899.989660	-158319	38899.989660	38899.993094	-296.718829
39000.019720	-156715	39000.019720	39000.023085	-290.705704
39099.987410	-155112	39099.987410	39099.990712	-285.311469
39200.017470	-153508	39200.017470	39200.020703	-279.298344
39299.985160	-151905	39299.985160	39299.988330	-273.904109
39400.015220	-150301	39400.015220	39400.018321	-267.890984
39499.982910	-148698	39499.982910	39499.985948	-262.496749
39600.012970	-147094	39600.012970	39600.015939	-256.483623
39699.980660	-145491	39699.980660	39699.983566	-251.089389
39800.010720	-143887	39800.010720	39800.013557	-245.076264
